time,symbol,score,signal,position,action,close_price
2025-10-24 16:00:00,ETH,50.6,中性,flat,reduce_long,3952.86
2025-10-24 16:00:00,SOL,69.3,多,long,open_long,192.97
2025-10-24 20:00:00,BTC,92.1,多,long,open_long,111297.01
2025-10-24 20:00:00,ETH,93.6,多,long,open_long,3963.97
2025-10-24 20:00:00,SOL,83.6,多,long,hold,193.66
2025-10-25 00:00:00,BTC,18.4,空,flat,reduce_long,110261.81
2025-10-25 00:00:00,ETH,22.7,空,flat,reduce_long,3889.12
2025-10-25 00:00:00,SOL,43.2,空,flat,reduce_long,190.65
2025-10-25 04:00:00,BTC,95.8,多,long,open_long,110893.7
2025-10-25 04:00:00,ETH,89.3,多,long,open_long,3938.77
2025-10-25 04:00:00,SOL,93.4,多,long,open_long,193.6
2025-10-25 08:00:00,BTC,48.8,中性,flat,reduce_long,110766.6
2025-10-25 08:00:00,ETH,47.9,中性,flat,reduce_long,3918.4
2025-10-25 08:00:00,SOL,52.9,中性,flat,reduce_long,192.98
2025-10-25 12:00:00,BTC,71.2,多,long,open_long,111228.0
2025-10-25 12:00:00,ETH,31.0,空,short,open_short,3923.2
2025-10-25 12:00:00,SOL,56.2,多,long,open_long,194.21
2025-10-25 16:00:00,BTC,62.1,多,flat,reduce_long,111763.8
2025-10-25 16:00:00,ETH,40.4,空,flat,reduce_short,3953.91
2025-10-25 16:00:00,SOL,60.1,多,long,hold,194.86
2025-10-25 20:00:00,BTC,43.0,空,short,open_short,111899.03
2025-10-25 20:00:00,ETH,30.1,空,short,open_short,3953.37
2025-10-25 20:00:00,SOL,45.8,中性,flat,reduce_long,193.91
2025-10-26 00:00:00,BTC,77.7,多,flat,reduce_short,111372.25
2025-10-26 00:00:00,ETH,71.6,多,flat,reduce_short,3932.47
2025-10-26 00:00:00,SOL,58.8,多,long,open_long,191.93
2025-10-26 04:00:00,BTC,59.9,多,long,open_long,111431.94
2025-10-26 04:00:00,ETH,48.6,中性,flat,hold,3945.46
2025-10-26 04:00:00,SOL,60.6,多,long,hold,194.16
2025-10-26 08:00:00,BTC,55.4,多,flat,reduce_long,111715.98
2025-10-26 08:00:00,ETH,35.6,空,short,open_short,3950.27
2025-10-26 08:00:00,SOL,47.3,中性,flat,reduce_long,193.3
2025-10-26 12:00:00,BTC,44.9,空,short,open_short,111430.4
2025-10-26 12:00:00,ETH,42.5,空,flat,reduce_short,3939.93
2025-10-26 12:00:00,SOL,48.8,中性,flat,hold,192.9
2025-10-26 16:00:00,BTC,70.3,多,flat,reduce_short,111776.94
2025-10-26 16:00:00,ETH,53.0,中性,flat,hold,3960.05
2025-10-26 16:00:00,SOL,55.1,多,long,open_long,194.35
2025-10-26 20:00:00,BTC,100.0,多,long,open_long,113575.05
2025-10-26 20:00:00,ETH,100.0,多,long,open_long,4072.89
2025-10-26 20:00:00,SOL,84.9,多,long,hold,198.01
2025-10-27 00:00:00,BTC,79.7,多,flat,reduce_long,113517.53
2025-10-27 00:00:00,ETH,89.3,多,flat,reduce_long,4055.57
2025-10-27 00:00:00,SOL,83.0,多,flat,reduce_long,198.74
2025-10-27 04:00:00,BTC,79.7,多,long,open_long,113320.8
2025-10-27 04:00:00,ETH,87.4,多,long,open_long,4062.09
2025-10-27 04:00:00,SOL,68.9,多,long,open_long,197.45
2025-10-27 08:00:00,BTC,82.4,多,long,hold,114767.29
2025-10-27 08:00:00,ETH,93.4,多,long,hold,4170.54
2025-10-27 08:00:00,SOL,86.0,多,long,hold,203.25
2025-10-27 12:00:00,BTC,89.1,多,long,hold,115256.44
2025-10-27 12:00:00,ETH,88.9,多,flat,reduce_long,4212.63
2025-10-27 12:00:00,SOL,71.5,多,flat,reduce_long,204.01
2025-10-27 16:00:00,BTC,67.4,多,flat,reduce_long,115014.88
2025-10-27 16:00:00,ETH,74.3,多,long,open_long,4166.83
2025-10-27 16:00:00,SOL,57.1,多,long,open_long,200.47
2025-10-27 20:00:00,BTC,76.7,多,long,open_long,115065.67
2025-10-27 20:00:00,ETH,80.0,多,long,hold,4145.86
2025-10-27 20:00:00,SOL,53.7,中性,flat,reduce_long,199.51
2025-10-28 00:00:00,BTC,91.1,多,long,hold,115497.57
2025-10-28 00:00:00,ETH,97.2,多,long,hold,4214.55
2025-10-28 00:00:00,SOL,85.3,多,long,open_long,202.47
2025-10-28 04:00:00,BTC,22.8,空,flat,reduce_long,114455.17
2025-10-28 04:00:00,ETH,66.1,多,flat,reduce_long,4128.8
2025-10-28 04:00:00,SOL,49.6,中性,flat,reduce_long,198.73
2025-10-28 08:00:00,BTC,43.7,空,short,open_short,113961.67
2025-10-28 08:00:00,ETH,63.0,多,long,open_long,4115.49
2025-10-28 08:00:00,SOL,44.8,空,short,open_short,199.68
2025-10-28 12:00:00,BTC,19.1,空,short,hold,113964.59
2025-10-28 12:00:00,ETH,26.5,空,flat,reduce_long,4100.01
2025-10-28 12:00:00,SOL,32.6,空,short,hold,201.12
2025-10-28 16:00:00,BTC,73.0,多,flat,reduce_short,114427.23
2025-10-28 16:00:00,ETH,47.2,中性,flat,hold,4123.99
2025-10-28 16:00:00,SOL,82.9,多,flat,reduce_short,203.42
2025-10-28 20:00:00,BTC,64.1,多,long,open_long,114449.55
2025-10-28 20:00:00,ETH,50.0,中性,flat,hold,4121.97
2025-10-28 20:00:00,SOL,46.3,中性,flat,hold,200.21
2025-10-29 00:00:00,BTC,66.0,多,long,hold,115341.59
2025-10-29 00:00:00,ETH,19.4,空,short,open_short,4135.0
2025-10-29 00:00:00,SOL,24.2,空,short,open_short,199.82
2025-10-29 04:00:00,BTC,0.5,空,flat,reduce_long,112808.05
2025-10-29 04:00:00,ETH,0.0,空,short,hold,3979.28
2025-10-29 04:00:00,SOL,0.0,空,short,hold,192.48
2025-10-29 08:00:00,BTC,19.2,空,short,open_short,112442.88
2025-10-29 08:00:00,ETH,30.3,空,flat,reduce_short,3972.99
2025-10-29 08:00:00,SOL,26.0,空,flat,reduce_short,193.81
2025-10-29 12:00:00,BTC,22.0,空,flat,reduce_short,112810.55
2025-10-29 12:00:00,ETH,20.1,空,short,open_short,4013.78
2025-10-29 12:00:00,SOL,5.3,空,short,open_short,194.57
2025-10-29 16:00:00,BTC,17.1,空,short,open_short,113070.94
2025-10-29 16:00:00,ETH,21.6,空,flat,reduce_short,4007.66
